Focus8 Data Dictionary,,,,,,,
,,,,,,,
Master Tables:,,,,,,,
12,mQC_TestDefinitionBody,QC,Holds test defination body data,\QualityControl\Transactions\TestDefinition,"mQC_QCParameters                mQC_TestDefinitionHeader 
tQC_TestingBody_0",iTestDefBodyId,iTestDefBodyId       iTestDefHeaderId   iParameterId
13,mQC_TestDefinitionHeader,QC,Holds test defination header data,\QualityControl\Transactions\TestDefinition,"mQC_ProductTestMapping
mQC_TestDefinitionBody
tQC_RequisitionBody_0
tQC_TestingHeader_0",iTestDefHeaderId,iTestDefHeaderId
14,tQC_Qcfailurereason_AuditLogDetails,QC,Audit log for QC failure reason,\Home\Master\QC\QCFailureReason,"tCore_MasterAuditLog                                
cCore_Fields ",iAuditId,"iAuditId                              
iFieldId"
15,tQC_QCParameters_AuditLogDetails,QC,Audit log for QC Parameters,\Home\Master\QC\QCParameters,"tCore_MasterAuditLog                                
cCore_Fields ",iAuditId,"iAuditId                              
iFieldId"
16,tQC_RequisitionBody_0,QC,Table stores requistion body details,\QualityControl\Transactions\Requisition,"tQC_RequisitionHeader_0 
mQC_TestDefinitionHeader 
tQC_TestingHeader_0",iReqBodyId,iReqHeaderId                  iTestDefHeaderId            iReqBodyId
17,tQC_RequisitionHeader_0,QC,Table stores requistion header details,\QualityControl\Transactions\Requisition,"tQC_RequisitionBody_0
tQC_TestingHeader_0",iReqHeaderId,iReqHeaderId
18,tQC_TestingBody_0,QC,Stores testing details ,\QualityControl\Transactions\SampleCheck,mQC_QCParameters              mQC_TestDefinitionBody                  tQC_TestingHeader_0 ,iTestBodyId,iParameterId          iTestDefBodyId      iTestHeaderId
19,tQC_TestingHeader_0,QC,Stores testing header details,\QualityControl\Transactions\SampleCheck,"mCore_Product 
tQC_RequisitionBody_0 
tQC_RequisitionHeader_0 
mQC_TestDefinitionHeader 
tQC_TestingBody_0",iTestHeaderId,iProductId                       iReqBodyId                iReqHeaderId               iTestDefHeaderId              iTestHeaderId
,,,,,,,
Maintainance Tables:,,,,,,,
Serial No,Object Name,Module,Objective,Document that updates the table,Linked Tables, Identity Field,Linked Field
1,mMnt_Breakdownstandardreason,MNT,Stores Breakdown standard reason masters data,\Home\Masters\Maintainance\BreakDownStandardReason,"mSec_Users mMnt_BreakdownstandardreasonLanguage
mMnt_BreakdownstandardreasonTreeDetails",iMasterId,"iCreatedBy                     iModifiedBy
iMasterId
iParentId"
2,mMnt_BreakdownstandardreasonLanguage,MNT,Stores Breakdown standard reason language data,\Home\Masters\Maintainance\BreakDownStandardReason,cCore_LanguageSupported mMnt_Breakdownstandardreason ,iMasterId,iMasterId                     iLanguageId
3,mMnt_BreakdownstandardreasonTree,MNT,Stores Breakdown standard reason tree data,\Home\Masters\Maintainance\BreakDownStandardReason,"mMnt_BreakdownstandardreasonTreeDetails
mMnt_BreakdownstandardreasonTreeFields",iTreeId,iTreeId
4,mMnt_BreakdownstandardreasonTreeDetails,MNT,Stores Breakdown standard reason tree details data,\Home\Masters\Maintainance\BreakDownStandardReason,mMnt_Breakdownstandardreason mMnt_Breakdownstandardreason mMnt_BreakdownstandardreasonTree ,iTreeId,"iMasterId                          iParentId                        
iTreeId"
5,mMnt_BreakdownstandardreasonTreeFields,MNT,Stores Breakdown standard reason tree fields data,\Home\Masters\Maintainance\BreakDownStandardReason,cCore_MasterFields mMnt_BreakdownstandardreasonTree ,iTreeId                             iSequence,"iFieldId                                
iTreeId"
6,tMnt_Breakdownstandardreason_AuditLogDetails,MNT,Audit log for breakdown standard reason,\Home\Masters\Maintainance\BreakDownStandardReason,"tCore_MasterAuditLog 
cCore_Fields ",iAuditId,"iAuditId                           
iFieldId"
,,,,,,,
Material Requisition and Planning Tables:,,,,,,,
Serial No,Object Name,Module,Objective,Document that updates the table,Linked Tables, Identity Field,Linked Field
1,mMRP_BOMBody,MRP - Masters,Stores bills of masterial body data,\Production\Transaction\BillOfMaterial,mCore_Product                       mMRP_BomVariantHeader           mMRP_BomExtraBody,iBomBodyId,"iProductId                        iVariantId               
iBomBodyId"
2,mMRP_BomExtraBody,MRP - Masters,Stores BOM additional body details,\Production\Transaction\BillOfMaterial,mMRP_BOMBody ,iBomBodyId,iBomBodyId
3,mMRP_BomExtraHeader,MRP - Masters,Stores BOM additional header details,\Production\Transaction\BillOfMaterial,mMRP_BomHeader ,iBomId,iBomId
4,mMRP_BomHeader,MRP - Masters,Stores bills of masterial header data,\Production\Transaction\BillOfMaterial,"mMRP_BomExtraHeader
mMRP_BomVariantHeader",iBomId,iBomId
5,mMRP_BomVariantHeader,MRP - Masters,Stores variant details of BOM,\Production\Transaction\BillOfMaterial,mMRP_BomHeader                                 mMRP_BOMBody,iVariantId,iBomId                                iVariantId
6,mMrp_Capacity,MRP - Masters,Stores plant capacity masters data,\Home\Masters\MRP\Capacity,"mSec_Users 
mMrp_CapacityLanguage
mMrp_CapacityTreeDetails
mMrp_CapacityTreeDetails
muMrp_WorkCenter_Capacity_Details",iMasterId,"iCreatedBy
iModifiedBy                
iMasterId
iParentId                      
iCapcity"
7,mMrp_CapacityLanguage,MRP - Masters,Stores plant capacity language data,\Home\Masters\MRP\Capacity,cCore_LanguageSupported                        mMrp_Capacity ,"iMasterId
iLanguageId","iMasterId
iLanguageId"
8,mMrp_CapacityTree,MRP - Masters,Stores plant capacity tree data,\Home\Masters\MRP\Capacity,"mMrp_CapacityTreeDetails
mMrp_CapacityTreeFields",iTreeId,iTreeId
9,mMrp_CapacityTreeDetails,MRP - Masters,Stores plant capacity tree details data,\Home\Masters\MRP\Capacity,"mMrp_Capacity 
mMrp_CapacityTree ",iTreeId,"iMasterId
iParentId
iTreeId"
10,mMrp_CapacityTreeFields,MRP - Masters,Stores plant capacity tree fields data,\Home\Masters\MRP\Capacity,cCore_MasterFields                           mMrp_CapacityTree ,iTreeId                             iSequence,"iFieldId                                
iTreeId"
11,mMRP_ExtraFields,MRP - Masters,,,,Id,
12,mMrp_Holiday,MRP - Masters,Stores plant holiday masters data,\Home\Masters\MRP\Holiday,"mSec_Users 
mMrp_HolidayLanguage
mMrp_HolidayTreeDetails",iMasterId,"iCreatedBy                
iModifiedBy                
iMasterId                     
iParentId                      "
13,mMrp_HolidayLanguage,MRP - Masters,Stores plant holiday language data,\Home\Masters\MRP\Holiday,cCore_LanguageSupported                      mMrp_Holiday ,"iMasterId
iLanguageId","iMasterId
iLanguageId"
14,mMrp_HolidayTree,MRP - Masters,Stores plant holiday tree data,\Home\Masters\MRP\Holiday,"mMrp_HolidayTreeDetails
mMrp_HolidayTreeFields",iTreeId,iTreeId
15,mMrp_HolidayTreeDetails,MRP - Masters,Stores plant holiday tree details data,\Home\Masters\MRP\Holiday,mMrp_Holiday                                                 mMrp_Holiday                                   mMrp_HolidayTree ,iTreeId,"iMasterId
iParentId                     
iTreeId"
16,mMrp_HolidayTreeFields,MRP - Masters,Stores plant holiday tree fields data,\Home\Masters\MRP\Holiday,cCore_MasterFields                            mMrp_HolidayTree ,iTreeId                             iSequence,"iFieldId                                
iTreeId"
17,mMrp_MaintenanceParameter,MRP - Masters,Stores maintainance parameter masters data,\Home\Masters\MRP\MaintainanceParameter,"mSec_Users 
mMrp_MaintenanceParameterLanguage
mMrp_MaintenanceParameterTreeDetails",iMasterId,"iCreatedBy                
iModifiedBy                
iMasterId                     
iParentId                      "
18,mMrp_MaintenanceParameterLanguage,MRP - Masters,Stores maintainance parameter language data,\Home\Masters\MRP\MaintainanceParameter,cCore_LanguageSupported mMrp_MaintenanceParameter ,"iMasterId
iLanguageId","iMasterId
iLanguageId"
19,mMrp_MaintenanceParameterTree,MRP - Masters,Stores maintainance parameter tree data,\Home\Masters\MRP\MaintainanceParameter,"mMrp_MaintenanceParameterTreeDetails
mMrp_MaintenanceParameterTreeFields",iTreeId,iTreeId
20,mMrp_MaintenanceParameterTreeDetails,MRP - Masters,Stores maintainance parameter tree details data,\Home\Masters\MRP\MaintainanceParameter,mMrp_MaintenanceParameter mMrp_MaintenanceParameterTree ,iTreeId,"iMasterId
iParentId                     
iTreeId"
21,mMrp_MaintenanceParameterTreeFields,MRP - Masters,Stores maintainance parameter tree fields data,\Home\Masters\MRP\MaintainanceParameter,cCore_MasterFields mMrp_MaintenanceParameterTree ,iTreeId                             iSequence,"iFieldId                                
iTreeId"
22,mMrp_Plant,MRP - Masters,Stores plant masters data,\Home\Masters\MRP\Plant,"mSec_Users 
mMrp_PlantLanguage
mMrp_PlantTreeDetails
muMrp_Capacity",iMasterId,"iCreatedBy
iModifiedBy                
iMasterId                     
iParentId                        
iPlant             "
23,mMrp_PlantLanguage,MRP - Masters,Stores plant language data,\Home\Masters\MRP\Plant,cCore_LanguageSupported                              mMrp_Plant ,"iMasterId
iLanguageId","iMasterId
iLanguageId"
24,mMrp_PlantTree,MRP - Masters,Stores plant tree data,\Home\Masters\MRP\Plant,"mMrp_PlantTreeDetails
mMrp_PlantTreeFields",iTreeId,iTreeId
25,mMrp_PlantTreeDetails,MRP - Masters,Stores plant tree details data,\Home\Masters\MRP\Plant,"mMrp_Plant                                           
mMrp_PlantTree ",iTreeId,"iMasterId
iParentId
iTreeId"
26,mMrp_PlantTreeFields,MRP - Masters,Stores plant tree fields data,\Home\Masters\MRP\Plant,cCore_MasterFields                                 mMrp_PlantTree ,iTreeId                             iSequence,"iFieldId
iTreeId"
27,mMrp_SafetyInstructions,MRP - Masters,Stores safety instructions masters data,\Home\Masters\MRP\SafetyInstruction,"mSec_Users 
mMrp_SafetyInstructionsLanguage
mMrp_SafetyInstructionsTreeDetails",iMasterId,"iCreatedBy                
iModifiedBy                
iMasterId                     
iParentId                       "
28,mMrp_SafetyInstructionsLanguage,MRP - Masters,Stores safety instructions language data,\Home\Masters\MRP\SafetyInstruction,"mSec_Users                 mMrp_SafetyInstructionsLanguage
mMrp_SafetyInstructionsTreeDetails","iMasterId
iLanguageId","iMasterId
iLanguageId"
29,mMrp_SafetyInstructionsTree,MRP - Masters,Stores safety instructions tree data,\Home\Masters\MRP\SafetyInstruction,"mMrp_SafetyInstructionsTreeDetails
mMrp_SafetyInstructionsTreeFields",iTreeId,iTreeId
30,mMrp_SafetyInstructionsTreeDetails,MRP - Masters,Stores safety instructions tree details data,\Home\Masters\MRP\SafetyInstruction,"mMrp_SafetyInstructions 
mMrp_SafetyInstructions 
mMrp_SafetyInstructionsTree ",iTreeId,"iMasterId                    
iParentId                     
iTreeId"
31,mMrp_SafetyInstructionsTreeFields,MRP - Masters,Stores safety instructions tree fields data,\Home\Masters\MRP\SafetyInstruction,cCore_MasterFields           mMrp_SafetyInstructionsTree ,iTreeId                             iSequence,"iFieldId                                
iTreeId"
32,mMrp_SupplyArea,MRP - Masters,Stores supply area masters data,\Home\Masters\MRP\SupplyArea,"mSec_Users 
mMrp_SupplyAreaLanguage
mMrp_SupplyAreaTreeDetails
muMrp_WorkCenter",iMasterId,"iCreatedBy                
iModifiedBy                
iMasterId                     
iParentId                       iSupplyarea"
33,mMrp_SupplyAreaLanguage,MRP - Masters,Stores supply area language data,\Home\Masters\MRP\SupplyArea,cCore_LanguageSupported                mMrp_SupplyArea ,"iMasterId
iLanguageId","iMasterId
iLanguageId"
34,mMrp_SupplyAreaTree,MRP - Masters,Stores supply area tree data,\Home\Masters\MRP\SupplyArea,"mMrp_SupplyAreaTreeDetails
mMrp_SupplyAreaTreeFields",iTreeId,iTreeId
35,mMrp_SupplyAreaTreeDetails,MRP - Masters,Stores supply area tree details data,\Home\Masters\MRP\SupplyArea,mMrp_SupplyArea                        mMrp_SupplyAreaTree ,iTreeId,"iMasterId                    
iParentId                     
iTreeId"
36,mMrp_SupplyAreaTreeFields,MRP - Masters,Stores supply area tree fields data,\Home\Masters\MRP\SupplyArea,cCore_MasterFields                    mMrp_SupplyAreaTree ,iTreeId                             iSequence,"iFieldId                               
iTreeId"
37,mMrp_WorkCenter,MRP - Masters,Stores work center masters data,\Home\Masters\MRP\WorkCenter,"mSec_Users 
mMrp_WorkCenterLanguage
mMrp_WorkCenterTreeDetails",iMasterId,"iCreatedBy                
iModifiedBy                
iMasterId                     
iParentId                       "
38,mMrp_WorkCenterLanguage,MRP - Masters,Stores work center language data,\Home\Masters\MRP\WorkCenter,cCore_LanguageSupported              mMrp_WorkCenter ,"iMasterId
iLanguageId","iMasterId
iLanguageId"
39,mMrp_WorkCenterTree,MRP - Masters,Stores work center tree data,\Home\Masters\MRP\WorkCenter,"mMrp_WorkCenterTreeDetails
mMrp_WorkCenterTreeFields",iTreeId,iTreeId
40,mMrp_WorkCenterTreeDetails,MRP - Masters,Stores work center tree details data,\Home\Masters\MRP\WorkCenter,mMrp_WorkCenter                           mMrp_WorkCenter                       mMrp_WorkCenterTree ,iTreeId,"iMasterId                    
iParentId                     
iTreeId"
41,mMrp_WorkCenterTreeFields,MRP - Masters,Stores work center tree fields data,\Home\Masters\MRP\WorkCenter,cCore_MasterFields                      mMrp_WorkCenterTree ,iTreeId                             iSequence,"iFieldId                                
iTreeId"
42,tMrp_Capacity_AuditLogDetails,MRP - Transactions,Audit log for capacity,\Home\Masters\MRP\Capacity,"
tCore_MasterAuditLog                                
cCore_Fields ",iAuditId,"iAuditId                             
iFieldId"
43,tMrp_ForecastBody,MRP - Transactions,Stores production forecast body details ,\Production\Transaction\0,tMrp_ForecastHeader ,iForeecastBodyId,iForecastId
44,tMrp_ForecastHeader,MRP - Transactions,Stores production forecast header details ,\Production\Transaction\0,tMrp_ForecastBody,iForecastId,
45,tMrp_Holiday_AuditLogDetails,MRP - Transactions,Audit log for holiday masters,\Home\Masters\MRP\Holiday,"
tCore_MasterAuditLog                                
cCore_Fields ",iAuditId,"iAuditId                             
iFieldId"
46,tMrp_MaintenanceParameter_AuditLogDetails,MRP - Transactions,Audit log for maintainance parameters,\Home\Masters\MRP\MaintainanceParameter,"
tCore_MasterAuditLog                                
cCore_Fields ",iAuditId,"iAuditId                             
iFieldId"
47,tMrp_PIO_0,MRP - Transactions,Stores PIO data for current year,\Production\Transaction\0,tMrp_PIODetails_0,iPIOId,iPIOId
48,tMrp_PIODetails_0,MRP - Transactions,Stores PIO details for current year,\Production\Transaction\0,tMrp_PIO_0,iId,iPIOId
49,tMrp_Plant_AuditLogDetails,MRP - Transactions,Audit log for plant masters ,\Home\Masters\MRP\Plant,"
tCore_MasterAuditLog                                
cCore_Fields ",iAuditId,"iAuditId                             
iFieldId"
50,tMrp_ProdOrder_0,MRP - Transactions,Stores production orders vouchers header data,\Production\Transaction\0,tMrp_ProdOrderBody_0,iProdOrderId,iProdOrderId
51,tMrp_ProdOrderBody_0,MRP - Transactions,Stores production orders vouchers body data,\Production\Transaction\0,tMrp_ProdOrder_0 ,iMasterID,iProdOrderId
52,tMrp_SafetyInstructions_AuditLogDetails,MRP - Transactions,Audit log for safety instructions,\Home\Masters\MRP\SafetyInstruction,"
tCore_MasterAuditLog                                
cCore_Fields ",iAuditId,"iAuditId                             
iFieldId"
53,tMrp_SupplyArea_AuditLogDetails,MRP - Transactions,Audit log for supply area,\Home\Masters\MRP\SupplyArea,"
tCore_MasterAuditLog                                
cCore_Fields ",iAuditId,"iAuditId                             
iFieldId"
54,tMrp_WorkCenter_AuditLogDetails,MRP - Transactions,Audit log for work center master,\Home\Masters\MRP\WorkCenter,"
tCore_MasterAuditLog                                
cCore_Fields ",iAuditId,"iAuditId                             
iFieldId"
,,,,,,,
Point of Sales Tables:,,,,,,,
"Generic Path for enabling POS: 
--\Home\Settings\SettingsWizard->Enable POS
--Define POS details in \Home\Security\Users->POS Tab
--Define Outlet,Counter in POS masters
--In counter->Assign Outlet->Assign user
--Log in with POS assigned user by providing login,outlet and counter credentials
",,,,,,,
Serial No,Object Name,Module,Objective,Document that updates the table,Linked Tables, Identity Field,Linked Field
1,cPos_BillPrintFormat,Point of Sales,Stores POS bill format header information,\POS\Utilities\BillPrintingFormat,"cPos_BillPrintFormatBody
cPos_BillPrintFormatLogo",iPrintFormatId,iPrintFormatId
2,cPos_BillPrintFormatBody,Point of Sales,Stores POS bill format body information,\POS\Utilities\BillPrintingFormat,cPos_BillPrintFormat ,iPrintFormatDetailId,iPrintFormatId
3,cPos_BillPrintFormatLogo,Point of Sales,Stores POS bill format logo information,\POS\Utilities\BillPrintingFormat,Pos_BillPrintFormat ,iLogoId,iPrintFormatId
4,cPos_BodyPanel,Point of Sales,Stores customization data for body panel,\POS\Utilities\BillPrintingFormat,mCore_Account                     cPos_BodyPanelExemptCalculation,iId,iHeaderId                          iTemplateId                    iAccountToPost
5,cPos_BodyPanelExemptCalculation,Point of Sales,Stores customization data for boy panel exempt fields for calculation,\POS\MainScreen\MainScreen,cPos_BodyPanel ,iHeaderId,iHeaderId
6,cPos_BottomPanel,Point of Sales,Stores customization data for Bottom panel,\POS\MainScreen\MainScreen,"cPos_Layouts 
cPos_Templates 
cPos_LeftPanel",iId,iLayoutId                          iTemplateId               iBottomPanelId
7,cPos_DefaultHeaderFields,Point of Sales,Stores customization data for default fields ,\POS\MainScreen\MainScreen,cPos_Templates ,iTemplateId,iTemplateId
8,cPos_DefLeftPanelBody,Point of Sales,Stores customization data for default left panel body,\POS\MainScreen\MainScreen,cPos_DefLeftPanelHeader                         mCore_Product ,iId,"iProductId
iParentId
iLeftPanelHeaderId"
9,cPos_DefLeftPanelHeader,Point of Sales,Stores customization data for default left panel header,\POS\MainScreen\MainScreen,"cPos_Layouts 
cPos_Templates 
cPos_DlpBody",iId,"iLayoutId
iTemplateId
iHeaderId]"
10,cPos_ExternalModule,Point of Sales,Stores customization data for POS external modules,,,iId,
11,cPos_HeaderExtraFields,Point of Sales,Stores customization data for header extra fields,\POS\MainScreen\MainScreen,"cPos_Templates 
cCore_Vouchers_0 ",iTemplateId,iTemplateId                 iVoucherType
12,cPos_Layouts,Point of Sales,Stores customization data for POS layouts,\POS\MainScreen\MainScreen->Setting->Set Layout,"cPos_BottomPanel
cPos_DlpHeader",iId,iLayoutId
13,cPos_LeftPanel,Point of Sales,Stores customization data for left panel,\POS\MainScreen\MainScreen->leftPanelCustomizationScreen,"cPos_BottomPanel 
cPos_Templates ",iId,iBottomPanelId             iTemplateId
14,cPos_RestComboItemDetails,Point of Sales,Stores customization data for restaurant combo item details,\POS\MainScreen\MainScreen->Setting,"mCore_Product                                       cPos_RestCourse                                          
mCore_Units ",iMenuItemId,"iComboId                      
iCourseId                        
iUnit            "
15,cPos_RestCourse,Point of Sales,Stores customization data for restaurant course,\POS\MainScreen\MainScreen->Setting,"cPos_RestMenuFormat 
cPos_RestComboItemDetails
cPos_RestCourseBodyDetails
cPos_RestCourseLayout",iMasterId,"iCourseFormatId        
iCourseId                            iMasterId"
16,cPos_RestCourseBodyDetails,Point of Sales,Stores customization data for course body ,\POS\MainScreen\MainScreen->Setting,mCore_Product                                       cPos_RestCourse ,iMasterId,"iMasterId                       
iComboId"
17,cPos_RestCourseLayout,Point of Sales,Stores customization data for course layout,\POS\MainScreen\MainScreen->Setting,cPos_RestCourse ,iLayoutId,iCourseId
18,cPos_RestMenu,Point of Sales,Stores customization data for menu,\POS\MainScreen\MainScreen->Setting,"cPos_RestMenuFormat          cPos_RestMenuTemplate                cPos_RestMenuItem
cPos_RestMenuLanguage
cPos_RestMenuLayout",iRestMenuId,iMenuTemplateId        iRestMenuId       iMenuFormatId
19,cPos_RestMenuFormat,Point of Sales,Stores customization data for menu format,\POS\MainScreen\MainScreen->Setting,"cPos_RestMenuFormat
cPos_RestMenu
cPos_RestMenuImage
cPos_RestMenuItem
mCore_Set",iMenuFormatId,iCourseFormatId     iMenuFormatId
20,cPos_RestMenuImage,Point of Sales,Stores customization data for menu image,\POS\MainScreen\MainScreen->Setting,cPos_RestMenuFormat ,iMenuFormatId,iMenuFormatId
21,cPos_RestMenuItem,Point of Sales,Stores customization data for menu item,\POS\MainScreen\MainScreen->Setting,cPos_RestMenuFormat                          mCore_Product                                         cPos_RestMenu ,iMenuItemId,iRestMenuId                 iProductId                     iMenuFormatId
22,cPos_RestMenuLanguage,Point of Sales,Stores customization data for menu language,\POS\MainScreen\MainScreen->Setting,cCore_LanguageSupported                      cPos_RestMenu ,"iRestMenuId
iLanguageId","iRestMenuId
iLanguageId"
23,cPos_RestMenuLayout,Point of Sales,Stores customization data for menu layout,\POS\MainScreen\MainScreen->Setting,cPos_RestMenu ,iLayoutId,iRestMenuId
24,cPos_RestMenuTemplate,Point of Sales,Stores customization data for menu template,\POS\MainScreen\MainScreen->Setting,"cPos_Templates 
cPos_RestMenu",iMenuTemplateId,"iMenuTemplateId
iTemplateId"
25,cPos_SecondScreenDetails,Point of Sales,Stores customization data for second screen,\POS\MainScreen\MainScreen->Setting,,iDisplayType,
26,cPos_Templates,Point of Sales,Stores customization data for 0,\POS\MainScreen\MainScreen->Select Template,"cPos_BodyPanel
cPos_BottomPanel
cPos_DefaultHeaderFields
cPos_DlpHeader
cPos_HeaderExtraFields
cPos_LeftPanel
cPos_RestMenuTemplate",iId,iTemplateId
27,mPos_BankCardType,Point of Sales,Stores POS bank card type masters data,\Home\Masters\PointOfSales\BankCardType,"mSec_Users
mPos_BankCardTypeLanguage
mPos_BankCardTypeTreeDetails
mPos_BankCardTypeTreeDetails
tPos_PaymentCardDetails",iMasterId,"iCreatedBy
iModifiedBy
iMasterId 
iParentId 
iBankType"
28,mPos_BankCardTypeLanguage,Point of Sales,Stores POS bank card type language data,\Home\Masters\PointOfSales\BankCardType,"cCore_LanguageSupported 
mPos_BankCardType ","iMasterId 
iLanguageId","iMasterId 
iLanguageId"
29,mPos_BankCardTypeTree,Point of Sales,Stores POS bank card type tree data,\Home\Masters\PointOfSales\BankCardType,"mPos_BankCardTypeTreeDetails
mPos_BankCardTypeTreeFields",iTreeId,iTreeId
30,mPos_BankCardTypeTreeDetails,Point of Sales,Stores POS bank card type tree details data,\Home\Masters\PointOfSales\BankCardType,mPos_BankCardType                       mPos_BankCardType               mPos_BankCardTypeTree ,iTreeId,"iMasterId
iParentId
iTreeId"
31,mPos_BankCardTypeTreeFields,Point of Sales,Stores POS bank card type tree fields data,\Home\Masters\PointOfSales\BankCardType,cCore_MasterFields                     mPos_BankCardTypeTree ,"iTreeId
iSequence","iFieldId
iTreeId"
32,mPos_CashInOut,Point of Sales,Stores cash in and cash out header data based on outlet,\POS\MainScreen\MainScreen->Transactions,"mCore_Account                                         mCore_Currency 
mPos_Counter 
mPos_Outlet 
mPos_Counter           
mPos_CashInOutBody
mPos_CashInOutDenomination",iOutletId,"iAccountId
iBaseCurrencyId
iFCounterId
iOutletId
iTCounterId
iUserId
iCashInOutId"
33,mPos_CashInOutBody,Point of Sales,Stores cash in and cash out body data based on outlet,\POS\MainScreen\MainScreen->Transactions,mPos_CashInOut                                    mCore_Currency ,iCashInOutId,"iCashInOutId
iCurrencyId"
34,mPos_CashInOutDenomination,Point of Sales,Cash denomination data,\POS\MainScreen\MainScreen->Transactions,"mPos_CashInOut 
mCore_Currency                   mCore_DenominationDetails ",iCashInOutId,"iCashInOutId       
iCurrencyId
iDenominationId"
35,mPos_Category,Point of Sales,Stores Category masters data,\Home\Masters\PointOfSales\Category,"mSec_Users 
mPos_CategoryLanguage
mPos_CategoryTreeDetails
uCore_Bins
muCore_Product
muCore_Product",iMasterId,"iCreatedBy
iModifiedBy
iMasterId 
iParentId 
iCategory
iAlternateCategory
iCategory"
36,mPos_CategoryLanguage,Point of Sales,Stores Category language data,\Home\Masters\PointOfSales\Category,"cCore_LanguageSupported 
mPos_Category ","iMasterId 
iLanguageId","iMasterId 
iLanguageId"
37,mPos_CategoryTree,Point of Sales,Stores Category tree data,\Home\Masters\PointOfSales\Category,"mPos_CategoryTreeDetails
mPos_CategoryTreeFields",iTreeId,iTreeId
38,mPos_CategoryTreeDetails,Point of Sales,Stores Category tree details data,\Home\Masters\PointOfSales\Category,"mPos_Category 
mPos_Category 
mPos_CategoryTree ",iTreeId,"iMasterId
iParentId
iTreeId"
39,mPos_CategoryTreeFields,Point of Sales,Stores Category tree fields data,\Home\Masters\PointOfSales\Category,"Core_MasterFields 
mPos_CategoryTree ","iTreeId
iSequence","iFieldId
iTreeId"
40,mPos_Counter,Point of Sales,Stores Counter masters data,\Home\Masters\PointOfSales\Counter,"mSec_Users 
mPos_CashInOut
mPos_CounterLanguage
CounterTreeDetails
mPos_HoldTransaction
mPos_MsgBrdCasting
mPos_MsgBrdCasting_Dtls",iMasterId,"iCreatedBy
iModifiedBy
iMasterId 
iParentId 
iCounterId
iFromCounterId
iToCounterId
iTCounterId
iFCounterId"
41,mPos_CounterLanguage,Point of Sales,Stores Counter language data,\Home\Masters\PointOfSales\Counter,"cCore_LanguageSupported 
mPos_Counter ","iMasterId 
iLanguageId","iMasterId 
iLanguageId"
42,mPos_CounterTree,Point of Sales,Stores Counter tree data,\Home\Masters\PointOfSales\Counter,"mPos_CounterTreeDetails
mPos_CounterTreeFields",iTreeId,iTreeId
43,mPos_CounterTreeDetails,Point of Sales,Stores Counter tree details data,\Home\Masters\PointOfSales\Counter,"mPos_Counter 
mPos_CounterTree ",iTreeId,"iMasterId
iParentId
iTreeId"
44,mPos_CounterTreeFields,Point of Sales,Stores Counter tree fields data,\Home\Masters\PointOfSales\Counter,"cCore_MasterFields 
mPos_CounterTree ","iTreeId
iSequence","iFieldId
iTreeId"
45,mPos_CreaditNote_Redemption,Point of Sales,Stores credit note data,POS\Utilities\CreditNote,mPos_CreditNote ,iId,iCreditNoteId
46,mPos_CreditNote,Point of Sales,Stores credit note data,POS\Utilities\CreditNote,"mPos_CreditNote_Redemption
mPos_CreditNote_Amount
mPos_CreditNote_ConvertPoints
mPos_CreditNote_Return",iId,iCreditNoteId
47,mPos_CreditNote_Amount,Point of Sales,Stores credit note data,POS\Utilities\CreditNote,mPos_CreditNote ,iId,iCreditNoteId
48,mPos_CreditNote_ConvertPoints,Point of Sales,Stores credit note data,POS\Utilities\CreditNote,"mPos_CreditNote 
mPos_Member 
mPos_MemberType ",iId,"iCreditNoteId
iMemberTypeId 
iMemberId"
49,mPos_CreditNote_Return,Point of Sales,Stores credit note data,POS\Utilities\CreditNote,mPos_CreditNote ,iId,iCreditNoteId
50,mPos_Dekitting,Point of Sales,Stores dekitting pos information,\Home\Masters\PointOfSales\Dekitting,mCore_Product ,iId,iProductId
51,mPos_EmployeeDiscountDefinition,Point of Sales,Stores employee based discount definition master data ,\Home\Masters\PointOfSales\EmployeeDiscountDefinition,mPay_Employee ,iId,iEmployeeId
52,mPos_EPayment,Point of Sales,Stores E-Payment masters data,\Home\Masters\PointOfSales\EPayment,"mSec_Users 
mPos_EPaymentLanguage
mPos_EPaymentTreeDetails
tPos_PaymentCardDetails",iMasterId,"iCreatedBy
iModifiedBy
iMasterId 
iParentId 
iEPaymentType"
53,mPos_EPaymentLanguage,Point of Sales,Stores E-Payment language data,\Home\Masters\PointOfSales\EPayment,"cCore_LanguageSupported 
mPos_EPayment ","iMasterId 
iLanguageId","iMasterId 
iLanguageId"
54,mPos_EPaymentTree,Point of Sales,Stores E-Payment tree data,\Home\Masters\PointOfSales\EPayment,"mPos_EPaymentTreeDetails
mPos_EPaymentTreeFields",iTreeId,iTreeId
55,mPos_EPaymentTreeDetails,Point of Sales,Stores E-Payment tree details data,\Home\Masters\PointOfSales\EPayment,"mPos_EPayment 
mPos_EPaymentTree ",iTreeId,"iMasterId
iParentId
iTreeId"
56,mPos_EPaymentTreeFields,Point of Sales,Stores E-Payment tree fields data,\Home\Masters\PointOfSales\EPayment,"cCore_MasterFields 
mPos_EPaymentTree ","iTreeId
iSequence","iFieldId
iTreeId"
