Focus8 Data Dictionary,,,,,,,
,,,,,,,
Master Tables:,,,,,,,
53,mCore_DefaultDashboard,All-Masters,Displays Default dashboard for Users,Click select Dashboard dropdown->Select Dashboard,"cCore_DashBoard 
mSec_Users ",iDashBoardId,iDashBoardId                                 iUserId
54,mCore_DefineCreditLimitByFATag,All-Masters,Stores credit limit defination by FATag upon activation,\Home\Settings\ConfigureTransactions\Preferences\AR/AP\Check Tag and select,mCore_CreditLimitAuth   tCore_CreditLimitAuthUsers,iId,iCrLmtAuthId
55,mCore_DenominationDetails,All-Masters,Stores Currency denomination Data for transactions ,\Home\Masters\Currency\CurrencyMaster,"mCore_Currency 
mPos_CashInOutDenomination
tPos_PaymentDenomination",iDenominationId,iDenominationId                                   iCurrencyId
56,mCore_Department,All-Masters,Department master information,\Home\Masters\Department,"mSec_Users  m                   mCore_DepartmentLanguage mCore_DepartmentTreeDetai muCore_Product_Reorder_Details
muFixA_FixedAsset
muPay_Employee
tCore_Data_0",iMasterId,iCreatedby                                       iModifiedBy                                 iUsedId                                       iParentId                                                                  iTag1                                                iTag2                                           iFaTag                                      iInvTag
57,mCore_DepartmentLanguage,All-Masters,Alias info in alternate language,\Home\Masters\Department->Create New->Alias,"cCore_LanguageSupported 

mCore_Department ",iMasterId,iLanguageId                                       iMasterid
58,mCore_DepartmentTree,All-Masters,Tree Structure for department,\Home\Masters\Department->Tools->Customize Tree,"mCore_DepartmentTreeDetails
mCore_DepartmentTreeFields",iTreeId,iTreeId
59,mCore_DepartmentTreeDetails,All-Masters,Details of Department master tree,\Home\Masters\Department->Tools->Customize Tree,"mCore_Department 
mCore_DepartmentTree ",iTreeId                                              iMasterId,iParentId                                iMasterId                                                     iTreeId
60,mCore_DepartmentTreeFields,All-Masters,Department tree fields data,\Home\Masters\Department->Tools->Customize Tree,"cCore_MasterFields 
mCore_DepartmentTree ",iTreeId,ifieldId                                        iSequence                             iTreeId
61,vaiPos_BankCardType,All-Masters,Bank card type details,\Home\Masters\Account->Select Income/Expense A/c->Tools->DepartmentAppropriation,mCore_Account,iAccountId,iMasterId
62,mCore_ExchangeAdjustment,All-Masters,Point of sales category details ,\Home\Utilities\AdjustForiegnExchange,mCore_ExchangeAdjustmentAccount,iExAdjustmentId,iExAdjustmentId
63,mCore_ExchangeAdjustmentAccount,All-Masters,Contains account information of forex exchange adjustments ,\Home\Utilities\AdjustForiegnExchange,mCore_ExchangeAdjustment ,iExAdjustmentId,iExAdjustmentId
64,mCore_ExchangeRate,All-Masters,Stores Exchange Rate header data,\Home\Masters\Currency\ExchangeRate,mCore_Currency                      mCore_ExchangeRateDefinition,iExchangeRateId,iCurrency                    iBaseCurrencyId            iExchangeRateId  
65,mCore_ExchangeRateDefinition,All-Masters,Stores exchange rate body data,\Home\Masters\Currency\ExchangeRate,"mCore_Currency 
mCore_ExchangeRate ",iExchangeRateId,iCurrency                    iExchangeRateId  
66,mCore_ExchangeRateDownload,All-Masters,Stores details of exchange rate downloaded data,\Home\Masters\Currency\ExchangeRate->Import from Excel,"mCore_ExRateDownloadMapping
mCore_ExRateDownloadRecurrence",iExRateDownloadId,iExRateDownloadId
67,mCore_ExRateDownloadMapping,All-Masters,Stores details of exchange rate Downloaded data's mapped fields,\Home\Masters\Currency\ExchangeRate->Import from Excel,mCore_ExchangeRateDownload ,iExRateDownloadId,iExRateDownloadId
68,mCore_ExRateDownloadRecurrence,All-Masters,Stores details of recurred exchange rate downloaded data,\Home\Masters\Currency\ExchangeRate->Import from Excel,mCore_ExchangeRateDownload ,iExRateDownloadId,iExRateDownloadId
69,mCore_FinanceTerms,All-Masters,Finance Terms header data,\Finance\CreditManagement\FinanceTerms,mCore_FinanceTermsDetails,iFinanceTermId,iFinanceTermId
70,mCore_FinanceTermsDetails,All-Masters,Finance Terms Body data,\Finance\CreditManagement\FinanceTerms,tCore_PostInterestDetails_0,iFinanceTermId,iFinanceTermId
71,mCore_ImportFieldsMapping,All-Masters,Stores import field mapping data to company data,\Home\Settings\Export/ImportSettings,,,
72,mCore_InterCompanySetting_0,All-Masters,Stores inter company transaction sharing related settings ,\Home\InterCompanyTransactions\InterCompanySettings,,iInterCompanySettingId,
73,mCore_LCSupportingDocument,All-Masters,Stores data of supporting documents provided in Letter of credit.,\Financials\ReceivablesAndPayables\Analysis\LetterofCredit->new->SupportingDocuments,mCore_LetterOfCredit ,iLCSupportingDocumentId,iLetterOfCreditId
74,mCore_LetterOfCredit,All-Masters,Stores letter of credit data.,\Financials\ReceivablesAndPayables\Analysis\LetterofCredit,mCore_Account                                              mCore_Currency                                                 mCore_Account                                  mCore_LCSupportingDocument,iLetterOfCreditId,iAccountId(iMasterId)                                    iCurrencyId                                      iIssueingBankId                        iReceivingBankId                       iLetterOfCreditId
75,mCore_LinkFields_0,All-Masters,Vouchers are linked based on value and key fields using workflow. The table Contains information of the Key fields for the link.  ,\Home\Settings\DesignWorkflow->New->Select Vouchers to link->Link->Choose the Key fields for the link,mCore_LinkPath_0 ,iLinkPathId,iLinkPathId
76,mCore_LinkNodes_0,All-Masters,"Stores workflow nodes(vouchers),their positions in workflow screen and node sequence .",\Home\Settings\DesignWorkflow->New->Select Vouchers to link,"cCore_Vouchers_0 
mCore_LinkPath_0
mCore_LinkPath_0",iLinkId,"iVoucherType
iLinkId"
77,mCore_LinkPath_0,All-Masters,Stores linkpath data. This table carries information that is unique to links.,\Home\Settings\DesignWorkflow->New->Select Vouchers to link,"mCore_LinkNodes_0 
mCore_WorkFlow_0 
mCore_LinkFields_0
mCore_MapLinkFields_0
tCore_Links_0",iLinkPathId,"iFromLinkId
iToLinkId                     iWorkFlowId                  iLinkPathId"
78,mCore_LockDatabase_0,All-Masters,Table holds database lock options data,\Home\DataManagement\Lock/UnlockDatabase,mCore_LockExeption_0,iVoucherType,iVoucherType
79,mCore_LockExeption_0,All-Masters,Table holds database lock user exceptions data,\Home\DataManagement\Lock/UnlockDatabase->UserExceptions,mCore_LockDatabase_0 ,iVoucherType,iVoucherType
80,mCore_MangeCreditComments,All-Masters,Store credit comments data,Not Applicable,mSec_Users ,iCommentId,iUserId                            
